$C2^8301$C6		Thou art as tyrannous, 
$C2^8302$C6			so as thou art,
$C2^8303$C6		As those whose beauties
$C2^8304$C6			proudly make them cruel;
$C2^8305$C6		For well thou know'st
$C2^8306$C6			to my dear doting heart
$C2^8307$C6		Thou art the fairest
$C2^8308$C6			and most precious jewel,
$C2^8309$C6		Yet, in good faith, 
$C2^830A$C6			some say that thee behold,
$C2^830B$C6		Thy face hath not the power
$C2^830C$C6			to make love groan:
$C2^830D$C6		To say they err,
$C2^830E$C6			I dare not be so bold,
